rwzi_code,rwzi_name,population,province,fraction
1008,Stadskanaal,31846,Groningen ,1.00
1010,Ter Apel,13723,Groningen ,1.00
1011,Uithuizermeeden,11036,Groningen ,1.00
1024,Ulrum,5142,Groningen ,1.00
1025,Zuidhorn,16105,Groningen ,1.00
1025,Zuidhorn,16105,Drenthe   ,0.00
1026,Hoogezand,30978,Groningen ,1.00
1027,Oude Pekela,12272,Groningen ,1.00
1028,Onderdendam,13751,Groningen ,1.00
1029,Leek,22711,Groningen ,0.96
1029,Leek,22711,Fryslân   ,0.01
1029,Leek,22711,Drenthe   ,0.04
1030,Winsum,15730,Groningen ,1.00
1031,Gaarkeuken,15080,Groningen ,1.00
1032,Marum,7914,Groningen ,1.00
1033,Garmerwolde,241658,Groningen ,0.99
1033,Garmerwolde,241658,Drenthe   ,0.01
1034,Feerwerd,3524,Groningen ,1.00
1038,Scheve Klap,4821,Groningen ,1.00
1039,Scheemda,37253,Groningen ,1.00
1040,Vriescheloo,6372,Groningen ,1.00
1041,Wehe Den Hoorn,4917,Groningen ,1.00
1044,Delfzijl,33800,Groningen ,1.00
1045,Veendam,39240,Groningen ,1.00
1046,Bellingwolde,6393,Groningen ,1.00
2002,Oosterwolde,23520,Fryslân   ,1.00
2011,Leeuwarden,103020,Fryslân   ,1.00
2012,Drachten,67141,Fryslân   ,1.00
2013,Burgum,30841,Fryslân   ,1.00
2015,Gorredijk,22725,Fryslân   ,1.00
2016,Wolvega,28574,Fryslân   ,1.00
2017,Sint Annaparochie,10762,Fryslân   ,1.00
2018,Sneek,41703,Fryslân   ,1.00
2019,Kootstertille,25792,Fryslân   ,1.00
2020,Ameland,3756,Fryslân   ,1.00
2021,Damwoude,25214,Fryslân   ,1.00
2022,Joure,19706,Fryslân   ,1.00
2023,Bolsward,27801,Fryslân   ,1.00
2024,Sloten,12199,Fryslân   ,1.00
2025,Akkrum,7279,Fryslân   ,1.00
2026,Terschelling,4959,Fryslân   ,1.00
2027,Lemmer,13736,Fryslân   ,1.00
2028,Dokkum,30470,Fryslân   ,1.00
2029,Birdaard,21024,Fryslân   ,1.00
2030,Workum,5480,Fryslân   ,1.00
2031,Heerenveen,47931,Fryslân   ,1.00
2032,Harlingen,24692,Fryslân   ,1.00
2036,Grouw,14488,Fryslân   ,1.00
2037,Warns,6698,Fryslân   ,1.00
2038,Franeker,31970,Fryslân   ,1.00
2040,Vlieland,1195,Fryslân   ,1.00
2041,Schiermonnikoog,944,Fryslân   ,1.00
3001,Beilen,22775,Drenthe   ,1.00
3010,Assen,75418,Drenthe   ,1.00
3014,Meppel,53324,Drenthe   ,0.72
3014,Meppel,53324,IJsselland,0.28
3022,Emmen,108081,Drenthe   ,1.00
3023,Tweede Exloermond,7967,Drenthe   ,1.00
3027,Smilde,9663,Drenthe   ,1.00
3028,Sleen,19915,Drenthe   ,1.00
3030,Eelde,52058,Groningen ,0.03
3030,Eelde,52058,Drenthe   ,0.97
3031,Gieten,31424,Drenthe   ,1.00
3032,Dieverbrug,19684,Drenthe   ,1.00
3033,Echten,77996,Drenthe   ,0.98
3033,Echten,77996,IJsselland,0.02
3034,Coevorden,27638,Drenthe   ,0.77
3034,Coevorden,27638,IJsselland,0.23
4005,Genemuiden,23705,IJsselland,1.00
4006,Olst,18493,IJsselland,1.00
4006,Olst,18493,Noord- en Oost-Gelderland ,0.00
4016,Ommen,13695,IJsselland,1.00
4017,Vollenhove,6832,IJsselland,1.00
4018,Heino,8837,IJsselland,1.00
4019,Deventer,92600,IJsselland,1.00
4020,Steenwijk,37260,Drenthe   ,0.00
4020,Steenwijk,37260,IJsselland,1.00
4021,Raalte,36656,IJsselland,0.95
4021,Raalte,36656,Twente,0.05
4022,Holten,22067,IJsselland,0.30
4022,Holten,22067,Twente,0.70
4023,Kampen,52478,IJsselland,0.99
4023,Kampen,52478,Flevoland ,0.01
4024,Hardenberg,33408,IJsselland,1.00
4024,Hardenberg,33408,Twente,0.00
4025,Dalfsen,27281,IJsselland,1.00
4026,Zwolle,123740,IJsselland,1.00
4027,Tollebeek,69507,IJsselland,0.00
4027,Tollebeek,69507,Flevoland ,1.00
4028,Dedemsvaart,23883,Drenthe   ,0.00
4028,Dedemsvaart,23883,IJsselland,1.00
4030,Hessenpoort,8633,IJsselland,1.00
5001,Haaksbergen,28740,Twente,1.00
5001,Haaksbergen,28740,Noord- en Oost-Gelderland ,0.00
5002,Enschede,148642,Twente,1.00
5003,Glanerbrug,12161,Twente,1.00
5004,Vriezenveen,13837,Twente,1.00
5005,Tubbergen,13682,Twente,1.00
5011,Denekamp,11101,Twente,1.00
5012,Oldenzaal,44141,Twente,1.00
5014,Vroomshoop,17185,IJsselland,0.00
5014,Vroomshoop,17185,Twente,1.00
5015,Losser,18039,Twente,1.00
5016,Goor,16301,Twente,1.00
5016,Goor,16301,Noord- en Oost-Gelderland ,0.00
5017,Hengelo,116027,Twente,1.00
5018,Ootmarsum,7237,Twente,1.00
5019,Almelo-Vissedijk,34508,Twente,1.00
5020,Almelo-Sumpel,62321,Twente,1.00
5022,Rijssen,35979,Twente,1.00
5023,Nijverdal,32193,IJsselland,0.04
5023,Nijverdal,32193,Twente,0.97
5025,Den Ham,5503,Twente,1.00
6003,Dronten,42271,Flevoland ,1.00
6004,Lelystad,81203,Flevoland ,1.00
6005,Almere,217792,Flevoland ,1.00
6006,Zeewolde,23293,Flevoland ,1.00
7002,Aalten,18803,Noord- en Oost-Gelderland ,1.00
7006,Wehl,6026,Noord- en Oost-Gelderland ,1.00
7014,Ruurlo,8589,Noord- en Oost-Gelderland ,1.00
7015,Lichtenvoorde,18398,Noord- en Oost-Gelderland ,1.00
7016,Winterswijk,38935,Noord- en Oost-Gelderland ,1.00
7017,Varsseveld,13597,Noord- en Oost-Gelderland ,1.00
7018,Dinxperlo,9075,Noord- en Oost-Gelderland ,1.00
7019,Zutphen,78093,IJsselland,0.00
7019,Zutphen,78093,Noord- en Oost-Gelderland ,1.00
7020,Nieuwgraaf,205644,Noord- en Oost-Gelderland ,0.08
7020,Nieuwgraaf,205644,Gelderland-Midden ,0.92
7021,Olburgen,69837,Noord- en Oost-Gelderland ,0.46
7021,Olburgen,69837,Gelderland-Midden ,0.54
7022,Etten,101332,Noord- en Oost-Gelderland ,1.00
7023,Haarlo,38066,Noord- en Oost-Gelderland ,1.00
8005,Nijkerk,46910,Noord- en Oost-Gelderland ,0.01
8005,Nijkerk,46910,Gelderland-Midden ,0.99
8005,Nijkerk,46910,Utrecht   ,0.00
8009,Elburg,54992,Noord- en Oost-Gelderland ,1.00
8011,Harderwijk,105685,Noord- en Oost-Gelderland ,0.95
8011,Harderwijk,105685,Gelderland-Midden ,0.05
8016,Heerde,18878,IJsselland,0.00
8016,Heerde,18878,Noord- en Oost-Gelderland ,1.00
8017,Epe,17379,Noord- en Oost-Gelderland ,1.00
8019,Bennekom,16164,Gelderland-Midden ,1.00
8021,Ede,157774,Gelderland-Midden ,1.00
8021,Ede,157774,Utrecht   ,0.00
8022,Apeldoorn,176782,Noord- en Oost-Gelderland ,1.00
8022,Apeldoorn,176782,Gelderland-Midden ,0.00
8023,Brummen,22743,Noord- en Oost-Gelderland ,1.00
8024,Renkum,70703,Gelderland-Midden ,1.00
8025,Terwolde,29368,IJsselland,0.08
8025,Terwolde,29368,Noord- en Oost-Gelderland ,0.92
8026,Hattem,36694,IJsselland,0.01
8026,Hattem,36694,Noord- en Oost-Gelderland ,0.99
9010,Groesbeek,16599,Gelderland-Zuid   ,1.00
9012,Geldermalsen,25665,Gelderland-Zuid   ,1.00
9013,Asperen,5521,Gelderland-Zuid   ,1.00
9016,Arnhem,155255,Gelderland-Midden ,0.86
9016,Arnhem,155255,Gelderland-Zuid   ,0.14
9017,Bergharen,5057,Gelderland-Zuid   ,1.00
9019,Culemborg,34435,Gelderland-Zuid   ,1.00
9020,Overasselt,5197,Gelderland-Zuid   ,1.00
9024,Nijmegen,243215,Gelderland-Zuid   ,1.00
9025,Tiel,72621,Gelderland-Zuid   ,1.00
9026,Dodewaard,23654,Gelderland-Midden ,0.29
9026,Dodewaard,23654,Gelderland-Zuid   ,0.71
9027,Druten,29353,Gelderland-Zuid   ,1.00
9030,Maasbommel,2720,Gelderland-Zuid   ,1.00
9031,Beesd,6166,Gelderland-Zuid   ,1.00
9032,Zetten,6825,Gelderland-Midden ,1.00
9032,Zetten,6825,Gelderland-Zuid   ,0.00
9037,Gorinchem,19001,Gelderland-Zuid   ,0.17
9037,Gorinchem,19001,Zuid-Holland-Zuid ,0.83
9038,Gendt,26892,Gelderland-Midden ,1.00
9039,Dreumel,6511,Gelderland-Zuid   ,1.00
9040,Haaften,11438,Gelderland-Zuid   ,1.00
9041,Zaltbommel,54096,Gelderland-Zuid   ,1.00
9042,Millingen aan de Rijn,8071,Gelderland-Zuid   ,1.00
10001,Zeist,59753,Utrecht   ,1.00
10003,De Bilt,49059,Utrecht   ,1.00
10008,Driebergen,29400,Utrecht   ,1.00
10009,Utrecht,269712,Utrecht   ,1.00
10010,Soest,72334,Utrecht   ,1.00
10012,De Meern,31242,Utrecht   ,1.00
10020,Woudenberg,30228,Gelderland-Midden ,0.34
10020,Woudenberg,30228,Utrecht   ,0.66
10021,Veenendaal,76234,Gelderland-Midden ,0.00
10021,Veenendaal,76234,Utrecht   ,1.00
10024,Montfoort,13814,Utrecht   ,1.00
10025,Bunnik,15514,Utrecht   ,1.00
10027,Amersfoort,211540,Gelderland-Midden ,0.00
10027,Amersfoort,211540,Utrecht   ,1.00
10028,Nieuwegein,98349,Utrecht   ,1.00
10029,Wijk Bij Duurstede,24031,Utrecht   ,1.00
10031,Breukelen,14046,Utrecht   ,1.00
10032,Oudewater,10207,Utrecht   ,1.00
10032,Oudewater,10207,Hollands-Midden   ,0.01
10034,Ronde Venen,35382,Utrecht   ,1.00
10035,Rhenen,32030,Utrecht   ,1.00
10036,Houten,50332,Utrecht   ,1.00
10037,Loenen,8526,Utrecht   ,0.97
10037,Loenen,8526,Gooi en Vechtstreek   ,0.03
10038,Lopik,14120,Utrecht   ,1.00
11004,Hilversum,57973,Gooi en Vechtstreek   ,1.00
11005,Amstelveen,101088,Amsterdam-Amstelland  ,1.00
11006,Uithoorn,40296,Amsterdam-Amstelland  ,1.00
11008,Blaricum,33332,Utrecht   ,0.28
11008,Blaricum,33332,Gooi en Vechtstreek   ,0.72
11010,Weesp,29806,Utrecht   ,0.05
11010,Weesp,29806,Amsterdam-Amstelland  ,0.00
11010,Weesp,29806,Amsterdam-Amstelland  ,0.70
11010,Weesp,29806,Gooi en Vechtstreek   ,0.95
11010,Weesp,29806,Gooi en Vechtstreek   ,0.25
11012,Huizen,40938,Gooi en Vechtstreek   ,1.00
11013,Horstermeer,110047,Utrecht   ,0.01
11013,Horstermeer,110047,Gooi en Vechtstreek   ,0.99
11014,Amsterdam West,676762,Utrecht   ,0.01
11014,Amsterdam West,676762,Zaanstreek-Waterland  ,0.00
11014,Amsterdam West,676762,Amsterdam-Amstelland  ,0.99
12001,Heiloo,42820,Noord-Holland-Noord   ,1.00
12006,Alkmaar,48715,Noord-Holland-Noord   ,1.00
12010,Zaandam-Oost,74871,Zaanstreek-Waterland  ,1.00
12010,Zaandam-Oost,74871,Amsterdam-Amstelland  ,0.00
12012,Everstekoog,13687,Noord-Holland-Noord   ,1.00
12013,Geestmerambacht,187159,Noord-Holland-Noord   ,1.00
12014,Beemster,104999,Noord-Holland-Noord   ,0.07
12014,Beemster,104999,Zaanstreek-Waterland  ,0.93
12016,Katwoude,45416,Zaanstreek-Waterland  ,1.00
12018,Wieringen,8472,Noord-Holland-Noord   ,1.00
12019,Stolpen,36471,Noord-Holland-Noord   ,1.00
12021,Wervershoof,180902,Noord-Holland-Noord   ,1.00
12022,Beverwijk,174828,Noord-Holland-Noord   ,0.14
12022,Beverwijk,174828,Zaanstreek-Waterland  ,0.32
12022,Beverwijk,174828,Kennemerland  ,0.54
12023,Den Helder,68676,Noord-Holland-Noord   ,1.00
12024,Ursem,39595,Noord-Holland-Noord   ,1.00
