day,log10 gc/g,gc/g,gc shed daily,gc in billions,,,,,,,
0,8.9,794328234.7,1.01674E+11,101.674014,,,,,,,
1,8.55,354813389.2,45416113822,45.41611382,,,,,,,
2,8.2,158489319.2,20286632864,20.28663286,,,,,,,
3,7.85,70794578.44,9061706040,9.06170604,,,,,,,
4,7.5,31622776.6,4047715405,4.047715405,,,,,,,
5,7.15,14125375.45,1808048057,1.808048057,,,,,,,
6,6.8,6309573.445,807625400.9,0.807625401,,,,,,,
7,6.45,2818382.931,360753015.2,0.360753015,,,,,,,
8,6.1,1258925.412,161142452.7,0.161142453,,,,,,,
9,5.75,562341.3252,71979689.62,0.07197969,,,,,,,
10,5.4,251188.6432,32152146.32,0.032152146,,,,,,,
11,5.05,112201.8454,14361836.22,0.014361836,,,,,,,
12,4.7,50118.72336,6415196.59,0.006415197,,,,,,,
13,4.35,22387.21139,2865563.057,0.002865563,,,,,,,
14,4,10000,1280000,0.00128,,,,,,,
15,3.65,4466.835922,571754.998,0.000571755,,,,,,,
16,3.3,1995.262315,255393.5763,0.000255394,,,,,,,
17,2.95,891.2509381,114080.1201,0.00011408,,,,,,,
18,2.6,398.1071706,50957.71783,5.09577E-05,,,,,,,
19,2.25,177.827941,22761.97645,2.2762E-05,,,,,,,
20,1.9,79.43282347,10167.4014,1.01674E-05,,,,,,,
21,1.55,35.48133892,4541.611382,4.54161E-06,,,,,,,
22,1.2,15.84893192,2028.663286,2.02866E-06,,,,,,,
23,0.85,7.079457844,906.170604,9.06171E-07,,,,,,,
24,0.5,3.16227766,404.7715405,4.04772E-07,,,,,,,
25,0.15,1.412537545,180.8048057,1.80805E-07,,,,,,,
