# All data presented on https://biobot.io/data is for personal and academic use only. Media may share and reference our data with attribution. This data included may not be used for commercial purposes. We ask that all commercial interest reach out to us directly at https://biobot.io/data-access.
date,display_name,eff_conc_sarscov2_weekly,eff_conc_sarscov2_weekly_rolling
2020-03-04,Nationwide,0.6268061024999999,2.7272249898571426
2020-03-11,Nationwide,11.128900539285716,24.12148050764881
2020-03-18,Nationwide,99.58647478625,158.9905916924097
2020-03-25,Nationwide,544.4687504701726,411.5097368189416
2020-04-01,Nationwide,191.59694424670903,306.9864526051584
2020-04-08,Nationwide,531.0621881739414,465.8091634495441
2020-04-15,Nationwide,479.0092837547901,582.2200573733035
2020-04-22,Nationwide,1046.221021046719,817.4004283630665
2020-04-29,Nationwide,240.5092022367325,366.84013565056216
2020-05-06,Nationwide,192.782983909724,186.2964875306308
2020-05-13,Nationwide,106.1377873081559,112.1733904776819
2020-05-20,Nationwide,55.7062097237439,66.31341248333348
2020-05-27,Nationwide,68.91784869686936,65.5485196678895
2020-06-03,Nationwide,61.9135134961157,73.5765616347638
2020-06-10,Nationwide,124.88746712725067,111.21054889888228
2020-06-17,Nationwide,105.7999113881751,102.2337500330661
2020-06-24,Nationwide,65.31538751844548,89.80041058030714
2020-07-01,Nationwide,171.74100201988583,151.29166098123184
2020-07-08,Nationwide,155.47057028940216,177.20161227369454
2020-07-15,Nationwide,269.5863904646728,227.9672240613948
2020-07-22,Nationwide,133.98721222027524,161.79429574204076
2020-07-29,Nationwide,165.2305351064708,161.2106587981707
2020-08-05,Nationwide,172.35460014286576,162.73949718138005
2020-08-12,Nationwide,121.78804741034642,127.25414446595578
2020-08-19,Nationwide,104.01807701148326,105.45046064610317
2020-08-26,Nationwide,94.84240842033958,97.62670896283412
2020-09-02,Nationwide,102.37254308416313,96.15996386484578
2020-09-09,Nationwide,72.6272024320826,76.0547620596454
2020-09-16,Nationwide,63.447219545378864,65.30200498498502
2020-09-23,Nationwide,65.39594929631203,65.50192618053231
2020-09-30,Nationwide,67.98054035256688,70.77819278480577
2020-10-07,Nationwide,87.35104600225509,92.30104471453232
2020-10-14,Nationwide,136.42154392560667,135.05025036796908
2020-10-21,Nationwide,177.2642805031328,174.03466236108451
2020-10-28,Nationwide,198.7293082283692,207.3965876596181
2020-11-04,Nationwide,272.19801254109905,300.0583456550783
2020-11-11,Nationwide,512.8287155377047,478.1985835370546
2020-11-18,Nationwide,545.6786265304095,558.0547577078298
2020-11-25,Nationwide,652.7853245876362,625.1184279235008
2020-12-02,Nationwide,593.8906426600505,621.3861715654701
2020-12-09,Nationwide,699.969134164982,691.5253649811975
2020-12-16,Nationwide,755.3850105672065,739.8562949270454
2020-12-23,Nationwide,717.6285931284643,714.8202357014073
2020-12-30,Nationwide,663.0220311273799,710.397476529925
2021-01-06,Nationwide,892.6681415415667,812.5740884601863
2021-01-13,Nationwide,641.7499334674715,658.8109181256096
2021-01-20,Nationwide,493.1976333422054,503.0020022727645
2021-01-27,Nationwide,403.471546800294,401.7281671066781
2021-02-03,Nationwide,303.285182096687,304.4265646559089
2021-02-10,Nationwide,209.9471127484116,220.2539477466061
2021-02-17,Nationwide,178.45005338930324,183.5225286485629
2021-02-24,Nationwide,177.387845585753,182.0029207765531
2021-03-03,Nationwide,204.01608892700344,197.35283164084376
2021-03-10,Nationwide,190.66478855129583,188.33588469739084
2021-03-17,Nationwide,163.34006505215834,171.18995479330758
2021-03-24,Nationwide,183.1146799999161,183.0653031269683
2021-03-31,Nationwide,202.5930337099869,200.58985299798223
2021-04-07,Nationwide,210.0523031480296,203.21588001918
2021-04-14,Nationwide,176.4930338129746,176.08044236634473
2021-04-21,Nationwide,140.45821579814017,142.5414749669781
2021-04-28,Nationwide,116.92295279633343,113.9757687464989
2021-05-05,Nationwide,75.70458549551947,82.03711780241439
2021-05-12,Nationwide,72.48141203607504,71.00856687190895
2021-05-19,Nationwide,60.42116759163411,58.069312393620926
2021-05-26,Nationwide,34.24979195911408,39.563238774569705
2021-06-02,Nationwide,39.95909721932779,41.72992992222284
2021-06-09,Nationwide,56.293398696911794,53.79106720441848
2021-06-16,Nationwide,57.61371121953594,58.76700909191237
2021-06-23,Nationwide,65.85381097641861,64.16426062045133
2021-06-30,Nationwide,63.95660859749754,67.38676222577863
2021-07-07,Nationwide,82.64032798826298,84.19807558643856
2021-07-14,Nationwide,110.67053296808191,120.8129507024546
2021-07-21,Nationwide,199.55524435413705,204.4809652460102
2021-07-28,Nationwide,317.99428109143093,315.12405792246886
2021-08-04,Nationwide,419.2119788149524,408.55328947700656
2021-08-11,Nationwide,456.47754051079903,451.2226213546044
2021-08-18,Nationwide,462.213587269478,494.2409178911793
2021-08-25,Nationwide,660.113617758365,651.1224464488116
2021-09-01,Nationwide,804.0666203899319,760.4745303993776
2021-09-08,Nationwide,686.4670830781731,693.6828927394372
2021-09-15,Nationwide,612.1624037339991,598.0384190292193
2021-09-22,Nationwide,453.1138161611463,487.0033160481278
2021-09-29,Nationwide,497.4022279101822,489.0838568602676
2021-10-06,Nationwide,491.78041335973046,476.7690165350818
2021-10-13,Nationwide,396.0902178613866,409.18751196626863
2021-10-20,Nationwide,378.9837869923348,403.6903095486594
2021-10-27,Nationwide,510.1164914612307,485.2977483981304
2021-11-03,Nationwide,492.33673755152455,505.8822746786468
2021-11-10,Nationwide,555.8302064045519,563.7292529709149
2021-11-17,Nationwide,666.7179546557578,686.095239142569
2021-11-24,Nationwide,893.8694098278302,918.6848362038304
2021-12-01,Nationwide,1269.9134232559022,1187.1652406958872
2021-12-08,Nationwide,1149.468341323884,1203.6341561198358
2021-12-15,Nationwide,1354.018148167576,1531.127549693768
2021-12-22,Nationwide,2621.2243641684227,2807.95227286171
2021-12-29,Nationwide,5008.798032328992,4554.989742813566
2022-01-05,Nationwide,4673.52196339701,4529.408637806568
2022-01-12,Nationwide,3473.5659409223745,3418.65927874179
2022-01-19,Nationwide,1944.169945364231,2111.8616937672336
2022-01-26,Nationwide,1420.924440224106,1412.3974500647605
2022-02-02,Nationwide,846.516994127908,861.0585490026228
2022-02-09,Nationwide,359.3588772799986,417.70657742066646
2022-02-16,Nationwide,222.28696127609632,233.16889831514865
2022-02-23,Nationwide,150.50666750650794,157.07668477552127
2022-03-02,Nationwide,118.1464773509995,121.53093837931914
2022-03-09,Nationwide,106.09305336540886,110.66273728210844
2022-03-16,Nationwide,121.45773288001564,117.519840210517
2022-03-23,Nationwide,113.19505637763046,123.85816580934306
2022-03-30,Nationwide,168.91103646552082,172.25800616298034
2022-04-06,Nationwide,244.70883473816832,241.97123022462333
2022-04-13,Nationwide,304.08100592954577,298.8226878245561
2022-04-20,Nationwide,331.9032684909852,344.77681294665985
2022-04-27,Nationwide,436.9667977864725,424.69054296994426
2022-05-04,Nationwide,468.37279818279,496.5103904390597
2022-05-11,Nationwide,668.6043521167255,648.9185333810406
2022-05-18,Nationwide,750.7209936365514,735.6626314021732
2022-05-25,Nationwide,742.487461750108,747.1811825214035
2022-06-01,Nationwide,762.4162544914367,766.3565862438427
2022-06-08,Nationwide,805.9870377472013,792.8524923771828
2022-06-15,Nationwide,770.7505487828552,788.6435856034345
2022-06-22,Nationwide,842.8722807419856,826.6835616801776
2022-06-29,Nationwide,817.8616983302679,854.0667618320786
2022-07-06,Nationwide,1010.0814969294146,1004.7706370977892
2022-07-13,Nationwide,1170.436136538809,1142.207472733941
2022-07-20,Nationwide,1161.418793318993,1142.0565183395568
2022-07-27,Nationwide,1036.2278002225596,1038.9912693429717
2022-08-03,Nationwide,927.6176218485994,921.4471665731612
2022-08-10,Nationwide,781.9847118220117,794.2604808808863
2022-08-17,Nationwide,710.0064161486716,716.0824867327774
2022-08-24,Nationwide,674.4845439799662,692.6172448095773
2022-08-31,Nationwide,747.7588767889275,744.6095595953285
2022-09-07,Nationwide,802.1373064362948,785.5082436548647
2022-09-14,Nationwide,756.7413593950821,753.2051758175777
2022-09-21,Nationwide,690.1283108888433,692.7169548144524
2022-09-28,Nationwide,639.0471259362588,639.8573360353633
2022-10-05,Nationwide,592.8272015783012,612.9488547867076
2022-10-12,Nationwide,667.3371964707815,650.5901985951265
2022-10-19,Nationwide,641.3652041093316,622.9828302838584
2022-10-26,Nationwide,505.09896879504265,535.8870876232053
2022-11-02,Nationwide,553.5614464497296,543.773673226915
2022-11-09,Nationwide,543.2972847675285,555.4733757203103
