# All data presented on https://biobot.io/data is for personal and academic use only. Media may share and reference our data with attribution. This data included may not be used for commercial purposes. We ask that all commercial interest reach out to us directly at https://biobot.io/data-access.
census_region,county_fips,date,display_name,eff_conc_sarscov2_weekly,eff_conc_sarscov2_weekly_rolling,state_abbr
Northeast,25025,2020-03-07,"Suffolk County, MA",0.6268061024999999,2.7272249898571426,MA
Northeast,25025,2020-03-14,"Suffolk County, MA",11.128900539285716,24.12148050764881,MA
Northeast,25025,2020-03-21,"Suffolk County, MA",99.58647478625,91.65370127988096,MA
West,8005,2020-03-28,"Arapahoe County, CO",36.63175022,36.63175022,CO
Northeast,34013,2020-03-28,"Essex County, NJ",4845.64656181,4051.550868714,NJ
South,12086,2020-03-28,"Miami-Dade County, FL",33.60004861,62.425516988666665,FL
Midwest,18151,2020-03-28,"Steuben County, IN",0.0,0.0,IN
Northeast,25025,2020-03-28,"Suffolk County, MA",140.44740799500002,148.30083214368057,MA
West,41071,2020-03-28,"Yamhill County, OR",0.0,0.0,OR
Northeast,34013,2020-04-04,"Essex County, NJ",875.16809633,2433.38797193875,NJ
Northeast,25015,2020-04-04,"Hampshire County, MA",19.82912082,29.60517329,MA
South,12086,2020-04-04,"Miami-Dade County, FL",177.72739050333334,141.44430299,FL
West,6061,2020-04-04,"Placer County, CA",0.0,0.0,CA
Northeast,25023,2020-04-04,"Plymouth County, MA",0.0,28.407878986000004,MA
West,6079,2020-04-04,"San Luis Obispo County, CA",0.0,0.0,CA
Northeast,25025,2020-04-04,"Suffolk County, MA",228.4288860958333,262.4961746447222,MA
West,41017,2020-04-11,"Deschutes County, OR",361.91510767,289.532086136,OR
Northeast,34013,2020-04-11,"Essex County, NJ",6254.0088845025,5442.7376211125,NJ
Northeast,25015,2020-04-11,"Hampshire County, MA",68.70938317,49.111108916666666,MA
South,21097,2020-04-11,"Harrison County, KY",0.0,0.0,KY
Northeast,42063,2020-04-11,"Indiana County, PA",2.60570603,7.46650628,PA
South,21111,2020-04-11,"Jefferson County, KY",33.37824603820703,58.43136402335688,KY
South,12086,2020-04-11,"Miami-Dade County, FL",104.15620731666668,107.433820565,FL
West,30067,2020-04-11,"Park County, MT",0.0,0.0,MT
West,6061,2020-04-11,"Placer County, CA",0.0,0.0,CA
Midwest,18151,2020-04-11,"Steuben County, IN",0.0,14.791229931666663,IN
Northeast,25025,2020-04-11,"Suffolk County, MA",520.81409549,452.5067549531944,MA
West,41071,2020-04-11,"Yamhill County, OR",0.0,0.0,OR
West,8005,2020-04-18,"Arapahoe County, CO",101.607287675,133.90464520199998,CO
West,41017,2020-04-18,"Deschutes County, OR",0.0,110.091172245,OR
Northeast,34013,2020-04-18,"Essex County, NJ",6765.222092335,7436.673098272084,NJ
Northeast,9001,2020-04-18,"Fairfield County, CT",42.67889977,39.931581106,CT
Northeast,25015,2020-04-18,"Hampshire County, MA",0.0,109.06590279166667,MA
Northeast,42063,2020-04-18,"Indiana County, PA",26.90970728,18.374089191666663,PA
South,21111,2020-04-18,"Jefferson County, KY",158.64383596395626,177.70117813960243,KY
South,12086,2020-04-18,"Miami-Dade County, FL",50.25070362,69.44816406611112,FL
Northeast,42091,2020-04-18,"Montgomery County, PA",0.0,61.29796979800001,PA
Northeast,10003,2020-04-18,"New Castle County, DE",35.87242674,158.608740806,DE
West,30067,2020-04-18,"Park County, MT",0.0,0.0,MT
Midwest,17143,2020-04-18,"Peoria County, IL",138.16972253999998,131.88562800199998,IL
West,6061,2020-04-18,"Placer County, CA",0.0,0.0,CA
Northeast,25023,2020-04-18,"Plymouth County, MA",142.03939493,1959.433974211667,MA
Midwest,18151,2020-04-18,"Steuben County, IN",88.74737959,65.60455474833333,IN
Northeast,25025,2020-04-18,"Suffolk County, MA",403.35526166333335,403.9920231225,MA
West,56039,2020-04-18,"Teton County, WY",0.0,0.0,WY
West,41071,2020-04-18,"Yamhill County, OR",0.0,0.0,OR
West,4025,2020-04-18,"Yavapai County, AZ",22.63090079,18.104720632,AZ
West,41017,2020-04-25,"Deschutes County, OR",298.63192580000003,199.08795053333336,OR
Northeast,34013,2020-04-25,"Essex County, NJ",11305.14133579,8837.006177769168,NJ
Northeast,9001,2020-04-25,"Fairfield County, CT",28.94230645,29.69088589833333,CT
Northeast,25015,2020-04-25,"Hampshire County, MA",585.6860335800001,397.7609950733334,MA
South,21097,2020-04-25,"Harrison County, KY",0.0,0.0,KY
Midwest,27053,2020-04-25,"Hennepin County, MN",1117.10596835,1119.604192281,MN
Northeast,42063,2020-04-25,"Indiana County, PA",0.0,4.484951213333333,PA
South,21111,2020-04-25,"Jefferson County, KY",398.2534789435824,329.78510311927374,KY
South,12086,2020-04-25,"Miami-Dade County, FL",111.5299626,86.25278443,FL
Northeast,42091,2020-04-25,"Montgomery County, PA",306.48984899000004,370.92204118833337,PA
Northeast,36059,2020-04-25,"Nassau County, NY",2292.03406568,2292.03406568,NY
Northeast,10003,2020-04-25,"New Castle County, DE",649.55399707,449.198544905,DE
South,40109,2020-04-25,"Oklahoma County, OK",0.0,0.0,OK
West,30067,2020-04-25,"Park County, MT",0.0,0.0,MT
Midwest,17143,2020-04-25,"Peoria County, IL",106.74924985,126.377335325,IL
West,6061,2020-04-25,"Placer County, CA",0.0,0.0,CA
Northeast,25023,2020-04-25,"Plymouth County, MA",11188.44626555,7612.12637663,MA
South,51179,2020-04-25,"Stafford County, VA",521.3991616100001,560.659818911,VA
Midwest,18151,2020-04-25,"Steuben County, IN",38.63781013,45.991737666666666,IN
Northeast,25025,2020-04-25,"Suffolk County, MA",289.7169965916667,289.5777775527084,MA
West,56039,2020-04-25,"Teton County, WY",0.0,0.0,WY
West,41071,2020-04-25,"Yamhill County, OR",0.0,0.0,OR
West,4025,2020-04-25,"Yavapai County, AZ",0.0,3.771816798333333,AZ
West,8005,2020-05-02,"Arapahoe County, CO",263.09407531,233.55366930916668,CO
West,41017,2020-05-02,"Deschutes County, OR",0.0,49.77198763333334,OR
Northeast,34013,2020-05-02,"Essex County, NJ",1036.24963112,2599.3807462491664,NJ
Northeast,9001,2020-05-02,"Fairfield County, CT",19.69718982,19.71485540666667,CT
Northeast,25015,2020-05-02,"Hampshire County, MA",43.82183612,138.51779867833335,MA
Midwest,27053,2020-05-02,"Hennepin County, MN",1129.597088005,981.8106256708332,MN
West,15003,2020-05-02,"Honolulu County, HI",0.0,0.0,HI
Northeast,42063,2020-05-02,"Indiana County, PA",0.0,0.0,PA
South,21111,2020-05-02,"Jefferson County, KY",227.0528669773564,239.304820371979,KY
South,12086,2020-05-02,"Miami-Dade County, FL",21.14615256,92.04709303222222,FL
West,6053,2020-05-02,"Monterey County, CA",0.0,0.0,CA
West,41051,2020-05-02,"Multnomah County, OR",0.0,35.141492706,OR
Northeast,25019,2020-05-02,"Nantucket County, MA",0.0,0.0,MA
Northeast,10003,2020-05-02,"New Castle County, DE",61.10285441,188.5881520780431,DE
West,30067,2020-05-02,"Park County, MT",0.0,0.0,MT
Midwest,17143,2020-05-02,"Peoria County, IL",193.09729001,168.99672890999997,IL
West,6061,2020-05-02,"Placer County, CA",0.0,0.0,CA
Northeast,25023,2020-05-02,"Plymouth County, MA",776.9338026499998,2549.3635595133333,MA
South,51179,2020-05-02,"Stafford County, VA",717.7024481149999,699.96439653,VA
Midwest,18151,2020-05-02,"Steuben County, IN",32.65180589,47.02135797916666,IN
Northeast,25025,2020-05-02,"Suffolk County, MA",175.24341728625,173.90001991944447,MA
West,56039,2020-05-02,"Teton County, WY",0.0,0.0,WY
West,4025,2020-05-02,"Yavapai County, AZ",0.0,0.0,AZ
West,16001,2020-05-09,"Ada County, ID",0.0,0.0,ID
West,8005,2020-05-09,"Arapahoe County, CO",247.33842694,213.32983219666667,CO
South,12009,2020-05-09,"Brevard County, FL",0.0,0.0,FL
Northeast,42043,2020-05-09,"Dauphin County, PA",427.25053685,383.152711532,PA
West,41017,2020-05-09,"Deschutes County, OR",0.0,0.0,OR
West,32007,2020-05-09,"Elko County, NV",0.0,0.0,NV
Northeast,34013,2020-05-09,"Essex County, NJ",146.144617225,277.54527846166667,NJ
Northeast,9001,2020-05-09,"Fairfield County, CT",10.55806671,10.32157611,CT
South,47065,2020-05-09,"Hamilton County, TN",0.0,47.793444614,TN
