rwzi_code,inwoners
1008,31846
1010,13723
1011,11036
1024,5142
1025,16105
1026,30978
1027,12272
1028,13751
1029,22711
1030,15730
1031,15080
1032,7914
1033,241658
1034,3524
1038,4821
1039,37253
1040,6372
1041,4917
1044,33800
1045,39240
1046,6393
2002,23520
2011,103020
2012,67141
2013,30841
2015,22725
2016,28574
2017,10762
2018,41703
2019,25792
2020,3756
2021,25214
2022,19706
2023,27801
2024,12199
2025,7279
2026,4959
2027,13736
2028,30470
2029,21024
2030,5480
2031,47931
2032,24692
2036,14488
2037,6698
2038,31970
2040,1195
2041,944
3001,22775
3010,75418
3014,53324
3022,108081
3023,7967
3027,9663
3028,19915
3030,52058
3031,31424
3032,19684
3033,77996
3034,27638
4005,23705
4006,18493
4016,13695
4017,6832
4018,8837
4019,92600
4020,37260
4021,36656
4022,22067
4023,52478
4024,33408
4025,27281
4026,123740
4027,69507
4028,23883
4030,8633
5001,28740
5002,148642
5003,12161
5004,13837
5005,13682
5011,11101
5012,44141
5014,17185
5015,18039
5016,16301
5017,116027
5018,7237
5019,34508
5020,62321
5022,35979
5023,32193
5025,5503
6003,42271
6004,81203
6005,217792
6006,23293
7002,18803
7006,6026
7014,8589
7015,18398
7016,38935
7017,13597
7018,9075
7019,78093
7020,205644
7021,69837
7022,101332
7023,38066
8005,46910
8009,54992
8011,105685
8016,18878
8017,17379
8019,16164
8021,157774
8022,176782
8023,22743
8024,70703
8025,29368
8026,36694
9010,16599
9012,25665
9013,5521
9016,155255
9017,5057
9019,34435
9020,5197
9024,243215
9025,72621
9026,23654
9027,29353
9030,2720
9031,6166
9032,6825
9037,19001
9038,26892
9039,6511
9040,11438
9041,54096
9042,8071
10001,59753
10003,49059
10008,29400
10009,269712
10010,72334
10012,31242
10020,30228
10021,76234
10024,13814
10025,15514
10027,211540
10028,98349
10029,24031
10031,14046
10032,10207
10034,35382
10035,32030
10036,50332
10037,8526
10038,14120
11004,57973
11005,101088
11006,40296
11008,33332
11010,29806
11012,40938
11013,110047
11014,676762
12001,42820
12006,48715
12010,74871
12012,13687
12013,187159
12014,104999
12016,45416
12018,8472
12019,36471
12021,180902
12022,174828
12023,68676
12024,39595
12025,12299
12026,4797
13003,68419
13004,27555
13005,91868
13010,142026
13012,58125
13023,58934
13030,5398
13033,99910
13034,23014
13035,50361
13038,23599
13039,74974
13041,106302
13042,31580
13044,118594
13046,96583
13047,16464
13048,44228
13049,51372
14002,50096
14003,109635
15004,70152
15005,244964
15007,206411
15008,843483
16009,76930
16010,269505
16011,48126
17002,6349
17004,2024
17005,5712
17011,59173
17013,32206
17016,34299
17026,13521
17029,27933
17040,14242
17041,65119
17043,9301
17044,119331
17045,34402
17048,12024
17052,34190
17053,49564
17054,5964
17055,24264
17056,9099
17057,12456
17061,335577
17062,7012
17063,20011
17065,28239
17066,17176
17067,4286
17068,1867
17070,58911
17074,3000
17075,2659
17076,44972
17077,74854
17078,115631
17079,37418
18006,7920
18007,9722
18009,16474
19001,15444
19003,10919
20009,21166
20010,7666
20011,76475
21001,115631
22008,3628
22012,10816
22013,10253
23002,52943
24001,19965
24002,7562
25001,52681
25003,30173
25008,5705
25012,3858
25013,7286
25014,5222
25016,2234
25017,265490
25019,4471
25020,36109
25021,248264
25023,88667
25025,12455
25026,6381
25027,6034
25028,5647
25029,3545
26005,57008
27003,467169
27004,45900
27005,36127
27006,21087
27008,177471
27009,36870
27010,63291
27011,42307
28002,43230
28003,173624
28005,125190
28006,41547
29002,162103
29003,88378
30003,78319
30005,67890
30007,60034
30011,10422
30013,31109
30014,42182
30015,178875
30016,45475
30017,190344
30018,6227
30019,27035
30020,53860
30021,25931
30022,128849
30023,18150
30024,118819
30025,34691
31005,313928
32002,226629
33001,30140
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
